,Unnamed: 0,original_idx,statement,label,n1,n2,diff,abs_diff
81,324,1124,Seventy-eight is larger than seventy-seven.,1,78,77,1,1
82,328,1147,Seventy-nine is larger than fifty-four.,1,79,54,25,25
83,332,1151,Seventy-nine is larger than fifty-eight.,1,79,58,21,21
84,336,1155,Seventy-nine is larger than sixty-three.,1,79,63,16,16
85,340,1159,Seventy-nine is larger than sixty-seven.,1,79,67,12,12
86,344,1163,Seventy-nine is larger than seventy-two.,1,79,72,7,7
87,348,1167,Seventy-nine is larger than seventy-six.,1,79,76,3,3
88,352,1189,Eighty-one is larger than fifty-two.,1,81,52,29,29
89,356,1193,Eighty-one is larger than fifty-six.,1,81,56,25,25
90,360,1197,Eighty-one is larger than sixty-one.,1,81,61,20,20
91,364,1201,Eighty-one is larger than sixty-five.,1,81,65,16,16
92,368,1205,Eighty-one is larger than sixty-nine.,1,81,69,12,12
93,372,1209,Eighty-one is larger than seventy-four.,1,81,74,7,7
94,376,1213,Eighty-one is larger than seventy-eight.,1,81,78,3,3
95,380,1234,Eighty-two is larger than fifty-three.,1,82,53,29,29
96,384,1238,Eighty-two is larger than fifty-seven.,1,82,57,25,25
97,388,1242,Eighty-two is larger than sixty-two.,1,82,62,20,20
98,392,1246,Eighty-two is larger than sixty-six.,1,82,66,16,16
99,396,1250,Eighty-two is larger than seventy-one.,1,82,71,11,11
100,400,1254,Eighty-two is larger than seventy-five.,1,82,75,7,7
101,404,1258,Eighty-two is larger than seventy-nine.,1,82,79,3,3
102,408,1278,Eighty-three is larger than fifty-three.,1,83,53,30,30
103,412,1282,Eighty-three is larger than fifty-seven.,1,83,57,26,26
104,416,1286,Eighty-three is larger than sixty-two.,1,83,62,21,21
105,420,1290,Eighty-three is larger than sixty-six.,1,83,66,17,17
106,424,1294,Eighty-three is larger than seventy-one.,1,83,71,12,12
107,428,1298,Eighty-three is larger than seventy-five.,1,83,75,8,8
108,432,1302,Eighty-three is larger than seventy-nine.,1,83,79,4,4
109,436,1321,Eighty-four is larger than fifty-two.,1,84,52,32,32
110,440,1325,Eighty-four is larger than fifty-six.,1,84,56,28,28
111,444,1329,Eighty-four is larger than sixty-one.,1,84,61,23,23
112,448,1333,Eighty-four is larger than sixty-five.,1,84,65,19,19
113,452,1337,Eighty-four is larger than sixty-nine.,1,84,69,15,15
114,456,1341,Eighty-four is larger than seventy-four.,1,84,74,10,10
115,460,1345,Eighty-four is larger than seventy-eight.,1,84,78,6,6
116,464,1349,Eighty-four is larger than eighty-three.,1,84,83,1,1
117,468,1367,Eighty-five is larger than fifty-four.,1,85,54,31,31
118,472,1371,Eighty-five is larger than fifty-eight.,1,85,58,27,27
119,476,1375,Eighty-five is larger than sixty-three.,1,85,63,22,22
120,480,1379,Eighty-five is larger than sixty-seven.,1,85,67,18,18
121,484,1383,Eighty-five is larger than seventy-two.,1,85,72,13,13
122,488,1387,Eighty-five is larger than seventy-six.,1,85,76,9,9
123,492,1391,Eighty-five is larger than eighty-one.,1,85,81,4,4
124,496,1408,Eighty-six is larger than fifty-one.,1,86,51,35,35
125,500,1412,Eighty-six is larger than fifty-five.,1,86,55,31,31
126,504,1416,Eighty-six is larger than fifty-nine.,1,86,59,27,27
127,508,1420,Eighty-six is larger than sixty-four.,1,86,64,22,22
128,512,1424,Eighty-six is larger than sixty-eight.,1,86,68,18,18
129,516,1428,Eighty-six is larger than seventy-three.,1,86,73,13,13
130,520,1432,Eighty-six is larger than seventy-seven.,1,86,77,9,9
131,524,1436,Eighty-six is larger than eighty-two.,1,86,82,4,4
132,528,1452,Eighty-seven is larger than fifty-one.,1,87,51,36,36
133,532,1456,Eighty-seven is larger than fifty-five.,1,87,55,32,32
134,536,1460,Eighty-seven is larger than fifty-nine.,1,87,59,28,28
135,540,1464,Eighty-seven is larger than sixty-four.,1,87,64,23,23
136,544,1468,Eighty-seven is larger than sixty-eight.,1,87,68,19,19
137,548,1472,Eighty-seven is larger than seventy-three.,1,87,73,14,14
138,552,1476,Eighty-seven is larger than seventy-seven.,1,87,77,10,10
139,556,1480,Eighty-seven is larger than eighty-two.,1,87,82,5,5
140,560,1484,Eighty-seven is larger than eighty-six.,1,87,86,1,1
141,564,1499,Eighty-eight is larger than fifty-four.,1,88,54,34,34
142,568,1503,Eighty-eight is larger than fifty-eight.,1,88,58,30,30
143,572,1507,Eighty-eight is larger than sixty-three.,1,88,63,25,25
144,576,1511,Eighty-eight is larger than sixty-seven.,1,88,67,21,21
145,580,1515,Eighty-eight is larger than seventy-two.,1,88,72,16,16
146,584,1519,Eighty-eight is larger than seventy-six.,1,88,76,12,12
147,588,1523,Eighty-eight is larger than eighty-one.,1,88,81,7,7
148,592,1527,Eighty-eight is larger than eighty-five.,1,88,85,3,3
149,596,1541,Eighty-nine is larger than fifty-two.,1,89,52,37,37
150,600,1545,Eighty-nine is larger than fifty-six.,1,89,56,33,33
151,604,1549,Eighty-nine is larger than sixty-one.,1,89,61,28,28
152,608,1553,Eighty-nine is larger than sixty-five.,1,89,65,24,24
153,612,1557,Eighty-nine is larger than sixty-nine.,1,89,69,20,20
154,616,1561,Eighty-nine is larger than seventy-four.,1,89,74,15,15
155,620,1565,Eighty-nine is larger than seventy-eight.,1,89,78,11,11
156,624,1569,Eighty-nine is larger than eighty-three.,1,89,83,6,6
157,628,1573,Eighty-nine is larger than eighty-seven.,1,89,87,2,2
158,632,1586,Ninety-one is larger than fifty-three.,1,91,53,38,38
159,636,1590,Ninety-one is larger than fifty-seven.,1,91,57,34,34
160,640,1594,Ninety-one is larger than sixty-two.,1,91,62,29,29
161,644,1598,Ninety-one is larger than sixty-six.,1,91,66,25,25
162,648,1602,Ninety-one is larger than seventy-one.,1,91,71,20,20
163,652,1606,Ninety-one is larger than seventy-five.,1,91,75,16,16
164,656,1610,Ninety-one is larger than seventy-nine.,1,91,79,12,12
165,660,1614,Ninety-one is larger than eighty-four.,1,91,84,7,7
166,664,1618,Ninety-one is larger than eighty-eight.,1,91,88,3,3
167,668,1630,Ninety-two is larger than fifty-three.,1,92,53,39,39
168,672,1634,Ninety-two is larger than fifty-seven.,1,92,57,35,35
169,676,1638,Ninety-two is larger than sixty-two.,1,92,62,30,30
170,680,1642,Ninety-two is larger than sixty-six.,1,92,66,26,26
171,684,1646,Ninety-two is larger than seventy-one.,1,92,71,21,21
172,688,1650,Ninety-two is larger than seventy-five.,1,92,75,17,17
173,692,1654,Ninety-two is larger than seventy-nine.,1,92,79,13,13
174,696,1658,Ninety-two is larger than eighty-four.,1,92,84,8,8
175,700,1662,Ninety-two is larger than eighty-eight.,1,92,88,4,4
176,704,1673,Ninety-three is larger than fifty-two.,1,93,52,41,41
177,708,1677,Ninety-three is larger than fifty-six.,1,93,56,37,37
178,712,1681,Ninety-three is larger than sixty-one.,1,93,61,32,32
179,716,1685,Ninety-three is larger than sixty-five.,1,93,65,28,28
180,720,1689,Ninety-three is larger than sixty-nine.,1,93,69,24,24
181,724,1693,Ninety-three is larger than seventy-four.,1,93,74,19,19
182,728,1697,Ninety-three is larger than seventy-eight.,1,93,78,15,15
183,732,1701,Ninety-three is larger than eighty-three.,1,93,83,10,10
184,736,1705,Ninety-three is larger than eighty-seven.,1,93,87,6,6
185,740,1709,Ninety-three is larger than ninety-two.,1,93,92,1,1
186,744,1719,Ninety-four is larger than fifty-four.,1,94,54,40,40
187,748,1723,Ninety-four is larger than fifty-eight.,1,94,58,36,36
188,752,1727,Ninety-four is larger than sixty-three.,1,94,63,31,31
189,756,1731,Ninety-four is larger than sixty-seven.,1,94,67,27,27
190,760,1735,Ninety-four is larger than seventy-two.,1,94,72,22,22
191,764,1739,Ninety-four is larger than seventy-six.,1,94,76,18,18
192,768,1743,Ninety-four is larger than eighty-one.,1,94,81,13,13
193,772,1747,Ninety-four is larger than eighty-five.,1,94,85,9,9
194,776,1751,Ninety-four is larger than eighty-nine.,1,94,89,5,5
195,780,1760,Ninety-five is larger than fifty-one.,1,95,51,44,44
196,784,1764,Ninety-five is larger than fifty-five.,1,95,55,40,40
197,788,1768,Ninety-five is larger than fifty-nine.,1,95,59,36,36
198,792,1772,Ninety-five is larger than sixty-four.,1,95,64,31,31
199,796,1776,Ninety-five is larger than sixty-eight.,1,95,68,27,27
200,800,1780,Ninety-five is larger than seventy-three.,1,95,73,22,22
201,804,1784,Ninety-five is larger than seventy-seven.,1,95,77,18,18
202,808,1788,Ninety-five is larger than eighty-two.,1,95,82,13,13
203,812,1792,Ninety-five is larger than eighty-six.,1,95,86,9,9
204,816,1796,Ninety-five is larger than ninety-one.,1,95,91,4,4
205,820,1804,Ninety-six is larger than fifty-one.,1,96,51,45,45
206,824,1808,Ninety-six is larger than fifty-five.,1,96,55,41,41
207,828,1812,Ninety-six is larger than fifty-nine.,1,96,59,37,37
208,832,1816,Ninety-six is larger than sixty-four.,1,96,64,32,32
209,836,1820,Ninety-six is larger than sixty-eight.,1,96,68,28,28
210,840,1824,Ninety-six is larger than seventy-three.,1,96,73,23,23
211,844,1828,Ninety-six is larger than seventy-seven.,1,96,77,19,19
212,848,1832,Ninety-six is larger than eighty-two.,1,96,82,14,14
213,852,1836,Ninety-six is larger than eighty-six.,1,96,86,10,10
214,856,1840,Ninety-six is larger than ninety-one.,1,96,91,5,5
215,860,1844,Ninety-six is larger than ninety-five.,1,96,95,1,1
216,864,1851,Ninety-seven is larger than fifty-four.,1,97,54,43,43
217,868,1855,Ninety-seven is larger than fifty-eight.,1,97,58,39,39
218,872,1859,Ninety-seven is larger than sixty-three.,1,97,63,34,34
219,876,1863,Ninety-seven is larger than sixty-seven.,1,97,67,30,30
220,880,1867,Ninety-seven is larger than seventy-two.,1,97,72,25,25
221,884,1871,Ninety-seven is larger than seventy-six.,1,97,76,21,21
222,888,1875,Ninety-seven is larger than eighty-one.,1,97,81,16,16
223,892,1879,Ninety-seven is larger than eighty-five.,1,97,85,12,12
224,896,1883,Ninety-seven is larger than eighty-nine.,1,97,89,8,8
225,900,1887,Ninety-seven is larger than ninety-four.,1,97,94,3,3
226,904,1893,Ninety-eight is larger than fifty-two.,1,98,52,46,46
227,908,1897,Ninety-eight is larger than fifty-six.,1,98,56,42,42
228,912,1901,Ninety-eight is larger than sixty-one.,1,98,61,37,37
229,916,1905,Ninety-eight is larger than sixty-five.,1,98,65,33,33
230,920,1909,Ninety-eight is larger than sixty-nine.,1,98,69,29,29
231,924,1913,Ninety-eight is larger than seventy-four.,1,98,74,24,24
232,928,1917,Ninety-eight is larger than seventy-eight.,1,98,78,20,20
233,932,1921,Ninety-eight is larger than eighty-three.,1,98,83,15,15
234,936,1925,Ninety-eight is larger than eighty-seven.,1,98,87,11,11
235,940,1929,Ninety-eight is larger than ninety-two.,1,98,92,6,6
236,944,1933,Ninety-eight is larger than ninety-six.,1,98,96,2,2
237,948,1938,Ninety-nine is larger than fifty-three.,1,99,53,46,46
238,952,1942,Ninety-nine is larger than fifty-seven.,1,99,57,42,42
239,956,1946,Ninety-nine is larger than sixty-two.,1,99,62,37,37
240,960,1950,Ninety-nine is larger than sixty-six.,1,99,66,33,33
241,964,1954,Ninety-nine is larger than seventy-one.,1,99,71,28,28
242,968,1958,Ninety-nine is larger than seventy-five.,1,99,75,24,24
243,972,1962,Ninety-nine is larger than seventy-nine.,1,99,79,20,20
244,976,1966,Ninety-nine is larger than eighty-four.,1,99,84,15,15
245,980,1970,Ninety-nine is larger than eighty-eight.,1,99,88,11,11
246,984,1974,Ninety-nine is larger than ninety-three.,1,99,93,6,6
247,988,1978,Ninety-nine is larger than ninety-seven.,1,99,97,2,2
248,0,0,Fifty-one is larger than fifty-two.,0,51,52,-1,1
249,4,4,Fifty-one is larger than fifty-six.,0,51,56,-5,5
250,8,8,Fifty-one is larger than sixty-one.,0,51,61,-10,10
251,12,12,Fifty-one is larger than sixty-five.,0,51,65,-14,14
252,16,16,Fifty-one is larger than sixty-nine.,0,51,69,-18,18
253,20,20,Fifty-one is larger than seventy-four.,0,51,74,-23,23
254,24,24,Fifty-one is larger than seventy-eight.,0,51,78,-27,27
255,28,28,Fifty-one is larger than eighty-three.,0,51,83,-32,32
256,32,32,Fifty-one is larger than eighty-seven.,0,51,87,-36,36
257,36,36,Fifty-one is larger than ninety-two.,0,51,92,-41,41
258,40,40,Fifty-one is larger than ninety-six.,0,51,96,-45,45
259,44,45,Fifty-two is larger than fifty-three.,0,52,53,-1,1
260,48,49,Fifty-two is larger than fifty-seven.,0,52,57,-5,5
261,52,53,Fifty-two is larger than sixty-two.,0,52,62,-10,10
262,56,57,Fifty-two is larger than sixty-six.,0,52,66,-14,14
263,60,61,Fifty-two is larger than seventy-one.,0,52,71,-19,19
264,64,65,Fifty-two is larger than seventy-five.,0,52,75,-23,23
265,68,69,Fifty-two is larger than seventy-nine.,0,52,79,-27,27
266,72,73,Fifty-two is larger than eighty-four.,0,52,84,-32,32
267,76,77,Fifty-two is larger than eighty-eight.,0,52,88,-36,36
268,80,81,Fifty-two is larger than ninety-three.,0,52,93,-41,41
269,84,85,Fifty-two is larger than ninety-seven.,0,52,97,-45,45
270,88,91,Fifty-three is larger than fifty-five.,0,53,55,-2,2
271,92,95,Fifty-three is larger than fifty-nine.,0,53,59,-6,6
272,96,99,Fifty-three is larger than sixty-four.,0,53,64,-11,11
273,100,103,Fifty-three is larger than sixty-eight.,0,53,68,-15,15
274,104,107,Fifty-three is larger than seventy-three.,0,53,73,-20,20
275,108,111,Fifty-three is larger than seventy-seven.,0,53,77,-24,24
276,112,115,Fifty-three is larger than eighty-two.,0,53,82,-29,29
277,116,119,Fifty-three is larger than eighty-six.,0,53,86,-33,33
278,120,123,Fifty-three is larger than ninety-one.,0,53,91,-38,38
279,124,127,Fifty-three is larger than ninety-five.,0,53,95,-42,42
280,128,131,Fifty-three is larger than ninety-nine.,0,53,99,-46,46
281,132,138,Fifty-four is larger than fifty-eight.,0,54,58,-4,4
282,136,142,Fifty-four is larger than sixty-three.,0,54,63,-9,9
283,140,146,Fifty-four is larger than sixty-seven.,0,54,67,-13,13
284,144,150,Fifty-four is larger than seventy-two.,0,54,72,-18,18
285,148,154,Fifty-four is larger than seventy-six.,0,54,76,-22,22
286,152,158,Fifty-four is larger than eighty-one.,0,54,81,-27,27
287,156,162,Fifty-four is larger than eighty-five.,0,54,85,-31,31
288,160,166,Fifty-four is larger than eighty-nine.,0,54,89,-35,35
289,164,170,Fifty-four is larger than ninety-four.,0,54,94,-40,40
290,168,174,Fifty-four is larger than ninety-eight.,0,54,98,-44,44
291,172,182,Fifty-five is larger than fifty-eight.,0,55,58,-3,3
292,176,186,Fifty-five is larger than sixty-three.,0,55,63,-8,8
293,180,190,Fifty-five is larger than sixty-seven.,0,55,67,-12,12
294,184,194,Fifty-five is larger than seventy-two.,0,55,72,-17,17
295,188,198,Fifty-five is larger than seventy-six.,0,55,76,-21,21
296,192,202,Fifty-five is larger than eighty-one.,0,55,81,-26,26
297,196,206,Fifty-five is larger than eighty-five.,0,55,85,-30,30
298,200,210,Fifty-five is larger than eighty-nine.,0,55,89,-34,34
299,204,214,Fifty-five is larger than ninety-four.,0,55,94,-39,39
300,208,218,Fifty-five is larger than ninety-eight.,0,55,98,-43,43
301,212,227,Fifty-six is larger than fifty-nine.,0,56,59,-3,3
302,216,231,Fifty-six is larger than sixty-four.,0,56,64,-8,8
303,220,235,Fifty-six is larger than sixty-eight.,0,56,68,-12,12
304,224,239,Fifty-six is larger than seventy-three.,0,56,73,-17,17
305,228,243,Fifty-six is larger than seventy-seven.,0,56,77,-21,21
306,232,247,Fifty-six is larger than eighty-two.,0,56,82,-26,26
307,236,251,Fifty-six is larger than eighty-six.,0,56,86,-30,30
308,240,255,Fifty-six is larger than ninety-one.,0,56,91,-35,35
309,244,259,Fifty-six is larger than ninety-five.,0,56,95,-39,39
310,248,263,Fifty-six is larger than ninety-nine.,0,56,99,-43,43
311,252,273,Fifty-seven is larger than sixty-two.,0,57,62,-5,5
312,256,277,Fifty-seven is larger than sixty-six.,0,57,66,-9,9
313,260,281,Fifty-seven is larger than seventy-one.,0,57,71,-14,14
314,264,285,Fifty-seven is larger than seventy-five.,0,57,75,-18,18
315,268,289,Fifty-seven is larger than seventy-nine.,0,57,79,-22,22
316,272,293,Fifty-seven is larger than eighty-four.,0,57,84,-27,27
317,276,297,Fifty-seven is larger than eighty-eight.,0,57,88,-31,31
318,280,301,Fifty-seven is larger than ninety-three.,0,57,93,-36,36
319,284,305,Fifty-seven is larger than ninety-seven.,0,57,97,-40,40
320,288,316,Fifty-eight is larger than sixty-one.,0,58,61,-3,3
321,292,320,Fifty-eight is larger than sixty-five.,0,58,65,-7,7
322,296,324,Fifty-eight is larger than sixty-nine.,0,58,69,-11,11
323,300,328,Fifty-eight is larger than seventy-four.,0,58,74,-16,16
324,304,332,Fifty-eight is larger than seventy-eight.,0,58,78,-20,20
325,308,336,Fifty-eight is larger than eighty-three.,0,58,83,-25,25
326,312,340,Fifty-eight is larger than eighty-seven.,0,58,87,-29,29
327,316,344,Fifty-eight is larger than ninety-two.,0,58,92,-34,34
328,320,348,Fifty-eight is larger than ninety-six.,0,58,96,-38,38
329,324,360,Fifty-nine is larger than sixty-one.,0,59,61,-2,2
330,328,364,Fifty-nine is larger than sixty-five.,0,59,65,-6,6
331,332,368,Fifty-nine is larger than sixty-nine.,0,59,69,-10,10
332,336,372,Fifty-nine is larger than seventy-four.,0,59,74,-15,15
333,340,376,Fifty-nine is larger than seventy-eight.,0,59,78,-19,19
334,344,380,Fifty-nine is larger than eighty-three.,0,59,83,-24,24
335,348,384,Fifty-nine is larger than eighty-seven.,0,59,87,-28,28
336,352,388,Fifty-nine is larger than ninety-two.,0,59,92,-33,33
337,356,392,Fifty-nine is larger than ninety-six.,0,59,96,-37,37
338,360,405,Sixty-one is larger than sixty-two.,0,61,62,-1,1
339,364,409,Sixty-one is larger than sixty-six.,0,61,66,-5,5
340,368,413,Sixty-one is larger than seventy-one.,0,61,71,-10,10
341,372,417,Sixty-one is larger than seventy-five.,0,61,75,-14,14
342,376,421,Sixty-one is larger than seventy-nine.,0,61,79,-18,18
343,380,425,Sixty-one is larger than eighty-four.,0,61,84,-23,23
344,384,429,Sixty-one is larger than eighty-eight.,0,61,88,-27,27
345,388,433,Sixty-one is larger than ninety-three.,0,61,93,-32,32
346,392,437,Sixty-one is larger than ninety-seven.,0,61,97,-36,36
347,396,451,Sixty-two is larger than sixty-four.,0,62,64,-2,2
348,400,455,Sixty-two is larger than sixty-eight.,0,62,68,-6,6
349,404,459,Sixty-two is larger than seventy-three.,0,62,73,-11,11
350,408,463,Sixty-two is larger than seventy-seven.,0,62,77,-15,15
351,412,467,Sixty-two is larger than eighty-two.,0,62,82,-20,20
352,416,471,Sixty-two is larger than eighty-six.,0,62,86,-24,24
353,420,475,Sixty-two is larger than ninety-one.,0,62,91,-29,29
354,424,479,Sixty-two is larger than ninety-five.,0,62,95,-33,33
355,428,483,Sixty-two is larger than ninety-nine.,0,62,99,-37,37
356,432,498,Sixty-three is larger than sixty-seven.,0,63,67,-4,4
357,436,502,Sixty-three is larger than seventy-two.,0,63,72,-9,9
358,440,506,Sixty-three is larger than seventy-six.,0,63,76,-13,13
359,444,510,Sixty-three is larger than eighty-one.,0,63,81,-18,18
360,448,514,Sixty-three is larger than eighty-five.,0,63,85,-22,22
361,452,518,Sixty-three is larger than eighty-nine.,0,63,89,-26,26
362,456,522,Sixty-three is larger than ninety-four.,0,63,94,-31,31
363,460,526,Sixty-three is larger than ninety-eight.,0,63,98,-35,35
364,464,542,Sixty-four is larger than sixty-seven.,0,64,67,-3,3
365,468,546,Sixty-four is larger than seventy-two.,0,64,72,-8,8
366,472,550,Sixty-four is larger than seventy-six.,0,64,76,-12,12
367,476,554,Sixty-four is larger than eighty-one.,0,64,81,-17,17
368,480,558,Sixty-four is larger than eighty-five.,0,64,85,-21,21
369,484,562,Sixty-four is larger than eighty-nine.,0,64,89,-25,25
370,488,566,Sixty-four is larger than ninety-four.,0,64,94,-30,30
371,492,570,Sixty-four is larger than ninety-eight.,0,64,98,-34,34
372,496,587,Sixty-five is larger than sixty-eight.,0,65,68,-3,3
373,500,591,Sixty-five is larger than seventy-three.,0,65,73,-8,8
374,504,595,Sixty-five is larger than seventy-seven.,0,65,77,-12,12
375,508,599,Sixty-five is larger than eighty-two.,0,65,82,-17,17
376,512,603,Sixty-five is larger than eighty-six.,0,65,86,-21,21
377,516,607,Sixty-five is larger than ninety-one.,0,65,91,-26,26
378,520,611,Sixty-five is larger than ninety-five.,0,65,95,-30,30
379,524,615,Sixty-five is larger than ninety-nine.,0,65,99,-34,34
380,528,633,Sixty-six is larger than seventy-one.,0,66,71,-5,5
381,532,637,Sixty-six is larger than seventy-five.,0,66,75,-9,9
382,536,641,Sixty-six is larger than seventy-nine.,0,66,79,-13,13
383,540,645,Sixty-six is larger than eighty-four.,0,66,84,-18,18
384,544,649,Sixty-six is larger than eighty-eight.,0,66,88,-22,22
385,548,653,Sixty-six is larger than ninety-three.,0,66,93,-27,27
386,552,657,Sixty-six is larger than ninety-seven.,0,66,97,-31,31
387,556,676,Sixty-seven is larger than sixty-nine.,0,67,69,-2,2
388,560,680,Sixty-seven is larger than seventy-four.,0,67,74,-7,7
389,564,684,Sixty-seven is larger than seventy-eight.,0,67,78,-11,11
390,568,688,Sixty-seven is larger than eighty-three.,0,67,83,-16,16
391,572,692,Sixty-seven is larger than eighty-seven.,0,67,87,-20,20
392,576,696,Sixty-seven is larger than ninety-two.,0,67,92,-25,25
393,580,700,Sixty-seven is larger than ninety-six.,0,67,96,-29,29
394,584,720,Sixty-eight is larger than sixty-nine.,0,68,69,-1,1
395,588,724,Sixty-eight is larger than seventy-four.,0,68,74,-6,6
396,592,728,Sixty-eight is larger than seventy-eight.,0,68,78,-10,10
397,596,732,Sixty-eight is larger than eighty-three.,0,68,83,-15,15
398,600,736,Sixty-eight is larger than eighty-seven.,0,68,87,-19,19
399,604,740,Sixty-eight is larger than ninety-two.,0,68,92,-24,24
400,608,744,Sixty-eight is larger than ninety-six.,0,68,96,-28,28
401,612,765,Sixty-nine is larger than seventy-one.,0,69,71,-2,2
402,616,769,Sixty-nine is larger than seventy-five.,0,69,75,-6,6
